Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1719006570.886706,6188,1719006570,885431330,,0.0,0.0,0.0
1719006570.9075356,6189,1719006570,905641747,,0.0,0.0,0.0
1719006570.9274468,6190,1719006570,925690185,,0.0,0.0,0.0
1719006570.947562,6191,1719006570,945554455,,0.0,0.0,0.0
1719006570.9671743,6192,1719006570,965452216,,0.0,0.0,0.0
1719006570.9869556,6193,1719006570,985449195,,0.0,0.0,0.0
1719006571.007868,6194,1719006571,5771539,,0.0,0.0,0.0
1719006571.0276768,6195,1719006571,25447997,,0.0,0.0,0.0
1719006571.0474136,6196,1719006571,45495028,,0.0,0.0,0.0
1719006571.067537,6197,1719006571,65668622,,0.0,0.0,0.0
1719006571.0876358,6198,1719006571,85487060,,0.0,0.0,0.0
1719006571.1084664,6199,1719006571,105580497,,0.0,0.0,0.0
1719006571.127545,6200,1719006571,125661122,,0.0,0.0,0.0
1719006571.147059,6201,1719006571,145587476,,0.0,0.0,0.0
1719006571.1665733,6202,1719006571,165416435,,0.0,0.0,0.0
1719006571.186843,6203,1719006571,185502580,,0.0,0.0,0.0
1719006571.2069943,6204,1719006571,205462476,,0.0,0.0,0.0
1719006571.2275715,6205,1719006571,225444351,,0.0,0.0,0.0
1719006571.247675,6206,1719006571,245516747,,0.0,0.0,0.0
1719006571.2676504,6207,1719006571,265618309,,0.0,0.0,0.0
1719006571.287166,6208,1719006571,285536382,,0.0,0.0,0.0
1719006571.3077466,6209,1719006571,305471278,,0.0,0.0,0.0
1719006571.3276255,6210,1719006571,325554403,,0.0,0.0,0.0
1719006571.3479795,6211,1719006571,345494820,,0.0,0.0,0.0
1719006571.3679328,6212,1719006571,365477893,,0.0,0.0,0.0
1719006571.387731,6213,1719006571,385493778,,0.0,0.0,0.0
1719006571.4089363,6214,1719006571,406024247,,0.0,0.0,0.0
1719006571.4289448,6215,1719006571,425671799,,0.0,0.0,0.0
1719006571.448438,6216,1719006571,445549351,,0.0,0.0,0.0
1719006571.4672883,6217,1719006571,465552684,,0.0,0.0,0.0
1719006571.4877648,6218,1719006571,485543361,,0.0,0.0,0.0
1719006571.50796,6219,1719006571,505935445,,0.0,0.0,0.0
1719006571.5276346,6220,1719006571,525619611,,0.0,0.0,0.0
1719006571.548376,6221,1719006571,545630184,,0.0,0.0,0.0
1719006571.56825,6222,1719006571,565592736,,0.0,0.0,0.0
1719006571.588313,6223,1719006571,585588882,,0.0,0.0,0.0
1719006571.6063414,6224,1719006571,605488257,,0.0,0.0,0.0
1719006571.6271462,6225,1719006571,625564664,,0.0,0.0,0.0
1719006571.647327,6226,1719006571,645689091,,0.0,0.0,0.0
1719006571.6674554,6227,1719006571,665465861,,0.0,0.0,0.0
1719006571.6883752,6228,1719006571,685608049,,0.0,0.0,0.0
1719006571.7081208,6229,1719006571,705602424,,0.0,0.0,0.0
1719006571.7290452,6230,1719006571,725867476,,0.0,0.0,0.0
1719006571.748353,6231,1719006571,745583309,,0.0,0.0,0.0
1719006571.7681625,6232,1719006571,765745966,,0.0,0.0,0.0
