Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,intFlag,altiThreshold,thrustSetpoint,thrustPerRotor,expectedThrust.x,expectedThrust.y,expectedThrust.z,disturbanceEstimate.x,disturbanceEstimate.y,disturbanceEstimate.z,inertialForce.x,inertialForce.y,inertialForce.z
1719185922.274243,9450,1719185922,273325579,,False,False,16.50973892211914,4.127434730529785,-0.2672969463227205,0.11565214790137673,16.50716889541002,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.2945988,9451,1719185922,293326986,,False,False,16.510021209716797,4.127505302429199,-0.2675146301428274,0.11566458667051595,16.5071652819538,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.3146431,9452,1719185922,313335475,,False,False,16.51046371459961,4.127615928649902,-0.26739740737015183,0.11550202824237067,16.507452003411906,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.334398,9453,1719185922,333388392,,False,False,16.510772705078125,4.127693176269531,-0.26732420712267896,0.11554106386906042,16.50789515566375,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.3548207,9454,1719185922,353334850,,False,False,16.512203216552734,4.128050804138184,-0.26725588403179806,0.11559124716604957,16.508205084495955,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.375656,9455,1719185922,373356309,,False,False,16.512203216552734,4.128050804138184,-0.26733925505382855,0.11565016134004048,16.509634693828442,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.3963459,9456,1719185922,393525371,,False,False,16.510957717895508,4.127739429473877,-0.2673355113851708,0.11584803831662949,16.509633367335365,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.4160337,9457,1719185922,413456257,,False,False,16.510940551757812,4.127735137939453,-0.2675469548144317,0.11575693899093009,16.508384260777557,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.4359567,9458,1719185922,433370319,,False,False,16.50946807861328,4.12736701965332,-0.2675777173664282,0.11563525598756928,16.50836768282168,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.4554837,9459,1719185922,453334225,,False,False,16.50946807861328,4.12736701965332,-0.26760426642013063,0.11555553379910823,16.50689387713901,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.4747212,9460,1719185922,473319954,,False,False,16.508638381958008,4.127159595489502,-0.2677185378232596,0.11570335788087033,16.50689098851892,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.4948905,9461,1719185922,493340996,,False,False,16.509363174438477,4.127340793609619,-0.2679475456105286,0.11555380186544303,16.50605940607554,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.515337,9462,1719185922,513337090,,False,False,16.509395599365234,4.127348899841309,-0.26817823520862905,0.11571806646167472,16.506779859792132,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.5353205,9463,1719185922,533385475,,False,False,16.5086727142334,4.12716817855835,-0.26821527022925074,0.11587496032424766,16.506809762126085,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.5561252,9464,1719185922,553438184,,False,False,16.50695037841797,4.126737594604492,-0.2682739419010537,0.11576854662424027,16.50608619085569,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.575421,9465,1719185922,573353600,,False,False,16.50695037841797,4.126737594604492,-0.26829184346388574,0.11592807266371422,16.50436275771163,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.5952415,9466,1719185922,593327715,,False,False,16.50848960876465,4.127122402191162,-0.2684000609419041,0.11592706852007079,16.504361005165197,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.6156163,9467,1719185922,613411881,,False,False,16.50848960876465,4.127122402191162,-0.26846526863798953,0.11592944292560757,16.50589947994459,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.6354582,9468,1719185922,633354954,,False,False,16.512113571166992,4.128028392791748,-0.2684974834905351,0.11599533044872849,16.50589849326718,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.6560526,9469,1719185922,653356204,,False,False,16.512113571166992,4.128028392791748,-0.26866332639009594,0.11596201969159653,16.509519620240678,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.675983,9470,1719185922,673338965,,False,False,16.510297775268555,4.127574443817139,-0.26862173829828706,0.11581095575956983,16.509521357098315,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.6964915,9471,1719185922,693376204,,False,False,16.510334014892578,4.1275835037231445,-0.2685984902768442,0.11582001662361038,16.507705842966843,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.7155359,9472,1719185922,713375267,,False,False,16.50956153869629,4.127390384674072,-0.2685873995060711,0.11583883237091228,16.5077434083079,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.7355309,9473,1719185922,733389850,,False,False,16.510522842407227,4.127630710601807,-0.2687571919049713,0.11588655943022742,16.506966371979914,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.7554567,9474,1719185922,753353704,,False,False,16.510522842407227,4.127630710601807,-0.26883800910301403,0.11579996144392198,16.507928326376543,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.7761226,9475,1719185922,773340475,,False,False,16.507736206054688,4.126934051513672,-0.2688516745392119,0.11585408043471179,16.50792772405042,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.79576,9476,1719185922,793369954,,False,False,16.507736206054688,4.126934051513672,-0.2686324227212606,0.11582537377557477,16.505144781297368,0.0,0.0,0.0,0.0,0.0,0.0
1719185922.8163774,9477,1719185922,813451361,,False,False,16.51192283630371,4.127980709075928,-0.26858778316613113,0.11584977287817776,16.505144603942654,0.0,0.0,0.0,0.0,0.0,0.0
