Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1719185922.260058,12889,1719531096,93361054,,0.4563400447368622,-1.1054694652557373,0.19338609278202057,-0.0032004087697714567,-0.0037696040235459805,-0.028566254302859306,0.999579668045044,-0.0027081101350018913,-0.004775132421161483,-0.003642161349323141,0.004844254688930754,0.0002966873432611745,-0.0030485449133250317
1719185922.2758324,12890,1719531096,110007557,,0.45633989572525024,-1.1056697368621826,0.1931939423084259,-0.0037095067091286182,-0.003435516729950905,-0.02879173494875431,0.9995726346969604,-0.002627695233829377,-0.008139579990129348,-0.006725116024051327,-0.013122532400535993,0.010873565040159593,-0.010322078101828837
1719185922.293427,12891,1719531096,126669949,,0.45633527636528015,-1.1054590940475464,0.19338896870613098,-0.0031798796262592077,-0.0037737987004220486,-0.02857137657701969,0.9995796084403992,-0.0026673956630217537,-0.004567949070356456,-0.0033381655201767295,0.005360890360167103,0.0002670884149983191,-0.003142410696806928
1719185922.3102486,12892,1719531096,143340757,,0.4564270079135895,-1.1053297519683838,0.1934877336025238,-0.003275967435911298,-0.0037620344664901495,-0.02851632609963417,0.9995809197425842,0.0029797146289724822,0.004474907859261646,0.0033307462436911414,-0.005786187246116078,0.0005068201443678986,0.003500575987277407
1719185922.326677,12893,1719531096,160018315,,0.45641976594924927,-1.1053235530853271,0.1934940367937088,-0.0032688737846910954,-0.003761056112125516,-0.028513826429843903,0.999580979347229,0.0028616847515418203,0.007926631495756946,0.006648419630146018,0.011814710199982334,-0.010158336294001912,0.01102675364899373
1719185922.343503,12894,1719531096,176674223,,0.4564213156700134,-1.1053192615509033,0.1934991180896759,-0.0032655191607773304,-0.0037675960920751095,-0.02852863445878029,0.9995805621147156,0.002964491881994232,0.004488164328073893,0.0034833386498685317,-0.006062998325645752,0.00041569111871907004,0.0032868490035732256
1719185922.3598857,12895,1719531096,193342847,,0.45642247796058655,-1.105316400527954,0.19349856674671173,-0.0032540590036660433,-0.003770907875150442,-0.02851676568388939,0.999580979347229,-5.610413200387908e-05,0.0002696765371452795,0.00017129909496695807,0.0011213929170837823,-0.00037472759633434697,0.00037230390061105463
1719185922.3757575,12896,1719531096,209996411,,0.45642194151878357,-1.1053262948989868,0.19350078701972961,-0.0032763646449893713,-0.0037598968483507633,-0.028527796268463135,0.9995806217193604,5.544969698590993e-05,1.1129677153718916e-06,0.00010351650994355012,0.00012862617982393305,-6.587515150119962e-05,-7.510192256994909e-05
1719185922.3934886,12897,1719531096,226666076,,0.45642417669296265,-1.105319857597351,0.19349715113639832,-0.003278201213106513,-0.0037834723480045795,-0.028517290949821472,0.9995808005332947,6.683470525442229e-05,3.676332888963464e-05,-4.1728802629157653e-05,-2.488649209453612e-05,-0.0006403385350379936,0.0007674439940585966
1719185922.4099915,12898,1719531096,243374264,,0.4564257264137268,-1.1053121089935303,0.19350361824035645,-0.003265868406742811,-0.003767561400309205,-0.02851703390479088,0.9995809197425842,7.975593277981507e-05,0.0001993132408541424,0.00019150872729690376,-5.421096125061715e-06,0.0006407224038539975,2.3692924158235875e-07
1719185922.4266376,12899,1719531096,260018671,,0.4564247131347656,-1.1053310632705688,0.19348247349262238,-0.003256185445934534,-0.003763812594115734,-0.02853381074965,0.9995805025100708,7.181531539144442e-05,4.8432531925484074e-05,-0.00019844032300403883,0.0010692402062030923,0.00042890052485916965,-0.0001956642295513661
1719185922.4529154,12900,1719531096,276690477,,0.456437885761261,-1.1055223941802979,0.1933082789182663,-0.003831623587757349,-0.0034175466280430555,-0.028764633461833,0.9995731115341187,0.00025417761452798505,-0.0032481400862407906,-0.003041628790916194,-0.01842896286028428,0.012232577134855836,-0.008132584913136667
1719185922.4595428,12901,1719531096,293361902,,0.4564334750175476,-1.105327844619751,0.19348877668380737,-0.003260216908529401,-0.003761593485251069,-0.02852208912372589,0.9995808005332947,5.4964347162309e-05,0.00300946033142395,0.0027879922610832856,0.01975649287264693,-0.010840795612272039,0.007883313635867993
1719185922.4758794,12902,1719531096,310020457,,0.4564228057861328,-1.105324149131775,0.19349077343940735,-0.0032716330606490374,-0.0037670121528208256,-0.028533240780234337,0.9995803833007812,-0.00010551258411058037,0.0033871829322103383,0.0031740234375304747,0.019063451722082774,-0.011166618876576488,0.008073969671791088
1719185922.4934886,12903,1719531096,326721721,,0.45642155408859253,-1.1053146123886108,0.19349680840969086,-0.003261656267568469,-0.0037619166541844606,-0.028526969254016876,0.9995806813240051,-0.0003459384598149217,0.006735387668716565,0.006178257584300777,0.038927194552474974,-0.022004154536088037,0.015871743059529823
1719185922.5101619,12904,1719531096,343410729,,0.45642217993736267,-1.1053266525268555,0.19349142909049988,-0.0032654323149472475,-0.003767723450437188,-0.028524288907647133,0.9995806813240051,-0.0001774400632986583,-0.00017970359363963482,-4.4995674748588585e-05,-0.00028670712037163674,-0.0004046652804721606,1.586368287194434e-05
1719185922.5267754,12905,1719531096,360052409,,0.4564329981803894,-1.10532546043396,0.19349008798599243,-0.003250683192163706,-0.0037591801956295967,-0.028528282418847084,0.9995806813240051,0.0001806650353031681,-0.00022123018705718376,-0.00010059674959862869,0.0005729617877059331,8.491364950408679e-05,0.0002517823146496737
1719185922.543491,12906,1719531096,376694075,,0.4564318060874939,-1.1053240299224854,0.19349905848503113,-0.003270511282607913,-0.0037721788976341486,-0.02852996066212654,0.999580442905426,0.00018166617549164504,-0.0003562381749390323,-5.1773720978705225e-05,-0.00040292148403603525,-0.0005448307606421916,-1.1605244983775489e-05
1719185922.5605068,12907,1719531096,393390261,,0.4564306139945984,-1.1053098440170288,0.1934865415096283,-0.0032626288011670113,-0.0037542430218309164,-0.028514407575130463,0.9995810389518738,0.0001209547918379651,0.000518788255524988,-0.0002922481360452852,0.00033368035050471015,0.001061124948337872,0.0008550362869765536
1719185922.5762098,12908,1719531096,410110895,,0.45642799139022827,-1.1053211688995361,0.1934954673051834,-0.0032704509794712067,-0.0037559622433036566,-0.02852749079465866,0.9995806813240051,-0.00010344357319977255,0.0003102631364743626,-0.0001211895263662334,-0.00041072307012564237,0.0006980267458363914,0.0005541724915334492
1719185922.593756,12909,1719531096,426706128,,0.45633992552757263,-1.1054593324661255,0.19338582456111908,-0.0031802754383534193,-0.0037655681371688843,-0.02857145667076111,0.999579668045044,-0.001549129023084444,-0.0020127697604563123,-0.002095113108536116,0.003240554058509866,0.0009199932191184959,-0.0008667900425180125
