Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1719006630.042171,37794,1719006630,36607360,base_link,0.017014226043231717,-0.016382870862349918,-0.8934352378346326,-0.44857082638305257,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.061299841850996e-05,0.000254034501267597,-0.00040201770025305455,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4414551556110382,0.14026996493339658,9.798468589782715,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1719006630.049946,37795,1719006630,41607360,base_link,0.01701546787295813,-0.016382785436779523,-0.8934348795864202,-0.44857126892496185,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0002819535438902676,0.00028021744219586253,-8.982478175312285e-05,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4378489851951599,0.14240820705890775,9.778671264648438,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1719006630.0520551,37796,1719006630,46607360,base_link,0.01701516782361668,-0.016379458222971002,-0.8934343316773895,-0.4485724911835687,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0005767294205725193,-0.00020025642879772934,-0.00024799053790047765,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4333024322986603,0.1337771713733685,9.794205665588379,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1719006630.0590394,37797,1719006630,51606848,base_link,0.017014188526774277,-0.01638091430603718,-0.8934347952927232,-0.44857177468714393,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.6119854990392923e-05,-6.032385863363742e-05,6.925623165443541e-05,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.440443217754364,0.13084782660007596,9.806743621826172,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1719006630.0639658,37798,1719006630,56606848,base_link,0.017014799964770424,-0.016381432930416738,-0.8934345845584806,-0.4485719011276895,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-6.483239121735096e-05,-8.35429673315957e-05,0.00012628949480131269,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4427596628665924,0.13650298118591428,9.788680076599121,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1719006630.0686383,37799,1719006630,61606848,base_link,0.017013368309589584,-0.016380607095024213,-0.8934347952927232,-0.4485716060997499,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00013672694331035018,-0.00022794962569605556,0.00019184342818334701,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.44407856464385986,0.13957345485687375,9.798973083496094,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1719006630.0732157,37800,1719006630,66606848,base_link,0.017011101969824395,-0.016382175377610938,-0.8934357014499661,-0.4485701098866278,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0004818192101083696,-0.0004838962340727448,0.00034762534778565174,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.44746893644332886,0.1346667706966412,9.790121078491211,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1719006630.079228,37801,1719006630,71606848,base_link,0.01700931527683569,-0.016383024303220275,-0.8934353432017539,-0.4485705524285372,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00010710925562307239,-0.0005628882790915668,0.00025107985129579907,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.44360652565956116,0.13129301369190335,9.78592586517334,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1719006630.0896573,37802,1719006630,81606848,base_link,0.017007163976564234,-0.016380995162955055,-0.8934357225233904,-0.44857000451950657,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-5.4191506933420897e-05,-0.000630602880846709,9.986886288970717e-05,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4507300555706024,0.14663001894950986,9.799939155578613,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1719006630.0911653,37803,1719006630,86606848,base_link,0.01700747448029975,-0.01638037119203374,-0.8934355328625722,-0.44857036276771894,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.2194191589951515e-05,-0.0002134199457941577,-0.00015186544624157247,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4367865324020386,0.14501677453518033,9.794095993041992,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1719006630.0982835,37804,1719006630,91606848,base_link,0.01700689792458301,-0.01638040247289787,-0.8934360175513301,-0.4485693723167789,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-5.09058590978384e-05,-0.0002580292639322579,3.354350337758664e-05,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4447139799594879,0.13623024523258329,9.792597770690918,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1719006630.1031115,37805,1719006630,96606848,base_link,0.017004684124321847,-0.016379739750748162,-0.8934361861387241,-0.44856920372938486,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-8.87364149093628e-06,-0.0004364711930975318,0.00016936857718974357,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4415091872215271,0.1414460241794598,9.78130054473877,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
