Time,intFlag,altiThreshold,thrustSetpoint,thrustPerRotor,expectedThrust.x,expectedThrust.y,expectedThrust.z,disturbanceEstimate.x,disturbanceEstimate.y,disturbanceEstimate.z,inertialForce.x,inertialForce.y,inertialForce.z
1719006630.0469055,False,False,16.370609283447266,4.092652320861816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.0677402,False,False,16.371047973632812,4.092761993408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.0883753,False,False,16.370914459228516,4.092728614807129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.1083238,False,False,16.370914459228516,4.092728614807129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.1272697,False,False,16.371440887451172,4.092860221862793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.1499946,False,False,16.371505737304688,4.092876434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.1667414,False,False,16.371322631835938,4.092830657958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.1875014,False,False,16.371280670166016,4.092820167541504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.2078576,False,False,16.371999740600586,4.0929999351501465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.228835,False,False,16.372051239013672,4.093012809753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.2492769,False,False,16.37159538269043,4.092898845672607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.2674835,False,False,16.371614456176758,4.0929036140441895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.2895794,False,False,16.371679306030273,4.092919826507568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.3083773,False,False,16.371679306030273,4.092919826507568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.330359,False,False,16.371000289916992,4.092750072479248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.3487341,False,False,16.371000289916992,4.092750072479248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.3683465,False,False,16.370161056518555,4.092540264129639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.3888173,False,False,16.370161056518555,4.092540264129639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.4114416,False,False,16.370027542114258,4.0925068855285645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1719006630.4290314,False,False,16.36994743347168,4.09248685836792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
