Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1719006712.1867485,13253,1719006712,185403308,,0.0,0.0,0.0
1719006712.207089,13254,1719006712,205442318,,0.0,0.0,0.0
1719006712.2268806,13255,1719006712,225420912,,0.0,0.0,0.0
1719006712.2476223,13256,1719006712,245442735,,0.0,0.0,0.0
1719006712.2671099,13257,1719006712,265444818,,0.0,0.0,0.0
1719006712.2877214,13258,1719006712,285439037,,0.0,0.0,0.0
1719006712.3073962,13259,1719006712,305460287,,0.0,0.0,0.0
1719006712.3275352,13260,1719006712,325441224,,0.0,0.0,0.0
1719006712.347625,13261,1719006712,345688308,,0.0,0.0,0.0
1719006712.36761,13262,1719006712,365868620,,0.0,0.0,0.0
1719006712.3876503,13263,1719006712,385731537,,0.0,0.0,0.0
1719006712.4076536,13264,1719006712,405601276,,0.0,0.0,0.0
1719006712.4278638,13265,1719006712,425481433,,0.0,0.0,0.0
1719006712.448078,13266,1719006712,445756276,,0.0,0.0,0.0
1719006712.4679084,13267,1719006712,465450547,,0.0,0.0,0.0
1719006712.4879642,13268,1719006712,485486745,,0.0,0.0,0.0
1719006712.5091105,13269,1719006712,505827318,,0.0,0.0,0.0
1719006712.5277803,13270,1719006712,525516433,,0.0,0.0,0.0
1719006712.5483446,13271,1719006712,545983412,,0.0,0.0,0.0
1719006712.5680103,13272,1719006712,565930235,,0.0,0.0,0.0
1719006712.5874104,13273,1719006712,585477162,,0.0,0.0,0.0
1719006712.6080928,13274,1719006712,605513412,,0.0,0.0,0.0
1719006712.6284957,13275,1719006712,625479089,,0.0,0.0,0.0
1719006712.6486697,13276,1719006712,645545391,,0.0,0.0,0.0
1719006712.6685994,13277,1719006712,666390495,,0.0,0.0,0.0
1719006712.6879637,13278,1719006712,685577526,,0.0,0.0,0.0
1719006712.707799,13279,1719006712,705451485,,0.0,0.0,0.0
1719006712.7307007,13280,1719006712,725801797,,0.0,0.0,0.0
1719006712.7462962,13281,1719006712,745386693,,0.0,0.0,0.0
1719006712.7672687,13282,1719006712,765529662,,0.0,0.0,0.0
1719006712.7877305,13283,1719006712,785979610,,0.0,0.0,0.0
1719006712.806801,13284,1719006712,805401172,,0.0,0.0,0.0
1719006712.8275406,13285,1719006712,825527005,,0.0,0.0,0.0
1719006712.847551,13286,1719006712,845432526,,0.0,0.0,0.0
1719006712.8675091,13287,1719006712,865570443,,0.0,0.0,0.0
1719006712.8878655,13288,1719006712,885727943,,0.0,0.0,0.0
1719006712.908631,13289,1719006712,905503828,,0.0,0.0,0.0
1719006712.927692,13290,1719006712,925517474,,0.0,0.0,0.0
1719006712.9485242,13291,1719006712,945585860,,0.0,0.0,0.0
1719006712.968692,13292,1719006712,965853672,,0.0,0.0,0.0
1719006712.9876595,13293,1719006712,985455026,,0.0,0.0,0.0
1719006713.0080323,13294,1719006713,5563307,,0.0,0.0,0.0
1719006713.0286055,13295,1719006713,25698412,,0.0,0.0,0.0
1719006713.048126,13296,1719006713,45703516,,0.0,0.0,0.0
1719006713.067812,13297,1719006713,65535391,,0.0,0.0,0.0
1719006713.0879855,13298,1719006713,85466641,,0.0,0.0,0.0
1719006713.1087115,13299,1719006713,105576432,,0.0,0.0,0.0
1719006713.128118,13300,1719006713,125617839,,0.0,0.0,0.0
1719006713.147944,13301,1719006713,146354870,,0.0,0.0,0.0
1719006713.167213,13302,1719006713,165399766,,0.0,0.0,0.0
1719006713.1874566,13303,1719006713,185427735,,0.0,0.0,0.0
1719006713.2077203,13304,1719006713,205498307,,0.0,0.0,0.0
1719006713.2278671,13305,1719006713,225452995,,0.0,0.0,0.0
1719006713.2478704,13306,1719006713,245463932,,0.0,0.0,0.0
1719006713.2684705,13307,1719006713,266015859,,0.0,0.0,0.0
1719006713.287906,13308,1719006713,285470078,,0.0,0.0,0.0
1719006713.3076906,13309,1719006713,305506849,,0.0,0.0,0.0
1719006713.3281024,13310,1719006713,325479922,,0.0,0.0,0.0
1719006713.3479457,13311,1719006713,345579974,,0.0,0.0,0.0
1719006713.3678317,13312,1719006713,365491641,,0.0,0.0,0.0
1719006713.3885481,13313,1719006713,385549037,,0.0,0.0,0.0
1719006713.4085112,13314,1719006713,405577266,,0.0,0.0,0.0
1719006713.427615,13315,1719006713,425454922,,0.0,0.0,0.0
1719006713.4483588,13316,1719006713,445632474,,0.0,0.0,0.0
1719006713.4685836,13317,1719006713,465888203,,0.0,0.0,0.0
1719006713.488326,13318,1719006713,485891797,,0.0,0.0,0.0
1719006713.508043,13319,1719006713,505512057,,0.0,0.0,0.0
1719006713.5275767,13320,1719006713,525439609,,0.0,0.0,0.0
1719006713.551133,13321,1719006713,547152578,,0.0,0.0,0.0
1719006713.5674746,13322,1719006713,565619661,,0.0,0.0,0.0
1719006713.587831,13323,1719006713,585534870,,0.0,0.0,0.0
1719006713.6082137,13324,1719006713,605462786,,0.0,0.0,0.0
1719006713.6282551,13325,1719006713,625626276,,0.0,0.0,0.0
1719006713.6492364,13326,1719006713,645898411,,0.0,0.0,0.0
1719006713.668402,13327,1719006713,665444088,,0.0,0.0,0.0
1719006713.6876485,13328,1719006713,685512838,,0.0,0.0,0.0
1719006713.7078438,13329,1719006713,705618255,,0.0,0.0,0.0
1719006713.7275736,13330,1719006713,725471588,,0.0,0.0,0.0
1719006713.7470267,13331,1719006713,745543047,,0.0,0.0,0.0
1719006713.7672079,13332,1719006713,765624297,,0.0,0.0,0.0
1719006713.787545,13333,1719006713,785452891,,0.0,0.0,0.0
1719006713.808643,13334,1719006713,805531328,,0.0,0.0,0.0
1719006713.8275065,13335,1719006713,825438620,,0.0,0.0,0.0
1719006713.8486981,13336,1719006713,845614453,,0.0,0.0,0.0
1719006713.8678033,13337,1719006713,865499141,,0.0,0.0,0.0
1719006713.8877573,13338,1719006713,885455338,,0.0,0.0,0.0
1719006713.9073672,13339,1719006713,905434922,,0.0,0.0,0.0
1719006713.9272485,13340,1719006713,925443620,,0.0,0.0,0.0
1719006713.9481173,13341,1719006713,945729193,,0.0,0.0,0.0
1719006713.967944,13342,1719006713,965975495,,0.0,0.0,0.0
1719006713.9881349,13343,1719006713,985570859,,0.0,0.0,0.0
1719006714.0072665,13344,1719006714,6115495,,0.0,0.0,0.0
1719006714.0281563,13345,1719006714,25635859,,0.0,0.0,0.0
1719006714.0479777,13346,1719006714,45479140,,0.0,0.0,0.0
1719006714.0674317,13347,1719006714,65438724,,0.0,0.0,0.0
1719006714.0879695,13348,1719006714,85565390,,0.0,0.0,0.0
1719006714.10766,13349,1719006714,105445599,,0.0,0.0,0.0
1719006714.1279786,13350,1719006714,125419088,,0.0,0.0,0.0
1719006714.1470275,13351,1719006714,145687057,,0.0,0.0,0.0
1719006714.1668174,13352,1719006714,165414870,,0.0,0.0,0.0
1719006714.1872838,13353,1719006714,185517734,,0.0,0.0,0.0
1719006714.2075279,13354,1719006714,205460599,,0.0,0.0,0.0
1719006714.2280366,13355,1719006714,225747838,,0.0,0.0,0.0
1719006714.248394,13356,1719006714,245865807,,0.0,0.0,0.0
1719006714.2689123,13357,1719006714,265591901,,0.0,0.0,0.0
1719006714.2883992,13358,1719006714,285700599,,0.0,0.0,0.0
1719006714.3073056,13359,1719006714,305413880,,0.0,0.0,0.0
1719006714.328846,13360,1719006714,325709192,,0.0,0.0,0.0
1719006714.3484309,13361,1719006714,345551224,,0.0,0.0,0.0
1719006714.3688626,13362,1719006714,365486119,,0.0,0.0,0.0
1719006714.387992,13363,1719006714,385462057,,0.0,0.0,0.0
1719006714.40813,13364,1719006714,405630599,,0.0,0.0,0.0
1719006714.4275737,13365,1719006714,425484244,,0.0,0.0,0.0
1719006714.4482543,13366,1719006714,445479974,,0.0,0.0,0.0
1719006714.4688911,13367,1719006714,465623724,,0.0,0.0,0.0
1719006714.4879334,13368,1719006714,485466015,,0.0,0.0,0.0
1719006714.508113,13369,1719006714,505478255,,0.0,0.0,0.0
1719006714.5288112,13370,1719006714,525555234,,0.0,0.0,0.0
1719006714.5496643,13371,1719006714,545981640,,0.0,0.0,0.0
1719006714.5675993,13372,1719006714,565463463,,0.0,0.0,0.0
1719006714.588929,13373,1719006714,585718515,,0.0,0.0,0.0
1719006714.6079307,13374,1719006714,605667109,,0.0,0.0,0.0
1719006714.6287801,13375,1719006714,625624557,,0.0,0.0,0.0
