Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1719006712.1867516,13253,1719006712,185403308,,0.0,0.0,0.0
1719006712.2075956,13254,1719006712,205442318,,0.0,0.0,0.0
1719006712.2271705,13255,1719006712,225420912,,0.0,0.0,0.0
1719006712.247918,13256,1719006712,245442735,,0.0,0.0,0.0
1719006712.2675726,13257,1719006712,265444818,,0.0,0.0,0.0
1719006712.2877872,13258,1719006712,285439037,,0.0,0.0,0.0
1719006712.3075812,13259,1719006712,305460287,,0.0,0.0,0.0
1719006712.3278139,13260,1719006712,325441224,,0.0,0.0,0.0
1719006712.3477004,13261,1719006712,345688308,,0.0,0.0,0.0
1719006712.36783,13262,1719006712,365868620,,0.0,0.0,0.0
1719006712.3878992,13263,1719006712,385731537,,0.0,0.0,0.0
1719006712.407717,13264,1719006712,405601276,,0.0,0.0,0.0
1719006712.4279728,13265,1719006712,425481433,,0.0,0.0,0.0
1719006712.4486814,13266,1719006712,445756276,,0.0,0.0,0.0
1719006712.4680037,13267,1719006712,465450547,,0.0,0.0,0.0
1719006712.4882512,13268,1719006712,485486745,,0.0,0.0,0.0
1719006712.5091963,13269,1719006712,505827318,,0.0,0.0,0.0
1719006712.5284169,13270,1719006712,525516433,,0.0,0.0,0.0
1719006712.5487099,13271,1719006712,545983412,,0.0,0.0,0.0
1719006712.5680568,13272,1719006712,565930235,,0.0,0.0,0.0
1719006712.587485,13273,1719006712,585477162,,0.0,0.0,0.0
1719006712.6083362,13274,1719006712,605513412,,0.0,0.0,0.0
1719006712.6292565,13275,1719006712,625479089,,0.0,0.0,0.0
1719006712.6488512,13276,1719006712,645545391,,0.0,0.0,0.0
1719006712.6687799,13277,1719006712,666390495,,0.0,0.0,0.0
1719006712.6880887,13278,1719006712,685577526,,0.0,0.0,0.0
1719006712.7079065,13279,1719006712,705451485,,0.0,0.0,0.0
1719006712.7307596,13280,1719006712,725801797,,0.0,0.0,0.0
1719006712.746635,13281,1719006712,745386693,,0.0,0.0,0.0
1719006712.767372,13282,1719006712,765529662,,0.0,0.0,0.0
1719006712.7878585,13283,1719006712,785979610,,0.0,0.0,0.0
1719006712.806815,13284,1719006712,805401172,,0.0,0.0,0.0
1719006712.8276954,13285,1719006712,825527005,,0.0,0.0,0.0
1719006712.8477104,13286,1719006712,845432526,,0.0,0.0,0.0
1719006712.8676958,13287,1719006712,865570443,,0.0,0.0,0.0
1719006712.888062,13288,1719006712,885727943,,0.0,0.0,0.0
1719006712.908709,13289,1719006712,905503828,,0.0,0.0,0.0
1719006712.9278874,13290,1719006712,925517474,,0.0,0.0,0.0
1719006712.9486601,13291,1719006712,945585860,,0.0,0.0,0.0
1719006712.9687638,13292,1719006712,965853672,,0.0,0.0,0.0
1719006712.987761,13293,1719006712,985455026,,0.0,0.0,0.0
1719006713.008164,13294,1719006713,5563307,,0.0,0.0,0.0
1719006713.02879,13295,1719006713,25698412,,0.0,0.0,0.0
1719006713.0481825,13296,1719006713,45703516,,0.0,0.0,0.0
1719006713.0678957,13297,1719006713,65535391,,0.0,0.0,0.0
1719006713.0883634,13298,1719006713,85466641,,0.0,0.0,0.0
1719006713.1087644,13299,1719006713,105576432,,0.0,0.0,0.0
1719006713.128211,13300,1719006713,125617839,,0.0,0.0,0.0
1719006713.1484904,13301,1719006713,146354870,,0.0,0.0,0.0
1719006713.1674302,13302,1719006713,165399766,,0.0,0.0,0.0
1719006713.1876123,13303,1719006713,185427735,,0.0,0.0,0.0
1719006713.2079535,13304,1719006713,205498307,,0.0,0.0,0.0
1719006713.2281768,13305,1719006713,225452995,,0.0,0.0,0.0
1719006713.2479732,13306,1719006713,245463932,,0.0,0.0,0.0
1719006713.2684717,13307,1719006713,266015859,,0.0,0.0,0.0
1719006713.2880206,13308,1719006713,285470078,,0.0,0.0,0.0
1719006713.3080692,13309,1719006713,305506849,,0.0,0.0,0.0
1719006713.3287094,13310,1719006713,325479922,,0.0,0.0,0.0
1719006713.3481555,13311,1719006713,345579974,,0.0,0.0,0.0
1719006713.368432,13312,1719006713,365491641,,0.0,0.0,0.0
1719006713.3890421,13313,1719006713,385549037,,0.0,0.0,0.0
1719006713.409296,13314,1719006713,405577266,,0.0,0.0,0.0
1719006713.4277027,13315,1719006713,425454922,,0.0,0.0,0.0
1719006713.4486165,13316,1719006713,445632474,,0.0,0.0,0.0
1719006713.4686337,13317,1719006713,465888203,,0.0,0.0,0.0
1719006713.488541,13318,1719006713,485891797,,0.0,0.0,0.0
1719006713.508267,13319,1719006713,505512057,,0.0,0.0,0.0
1719006713.5276706,13320,1719006713,525439609,,0.0,0.0,0.0
1719006713.5514042,13321,1719006713,547152578,,0.0,0.0,0.0
1719006713.567693,13322,1719006713,565619661,,0.0,0.0,0.0
1719006713.5880935,13323,1719006713,585534870,,0.0,0.0,0.0
1719006713.6083958,13324,1719006713,605462786,,0.0,0.0,0.0
1719006713.6293533,13325,1719006713,625626276,,0.0,0.0,0.0
1719006713.6494343,13326,1719006713,645898411,,0.0,0.0,0.0
1719006713.6684773,13327,1719006713,665444088,,0.0,0.0,0.0
1719006713.6881862,13328,1719006713,685512838,,0.0,0.0,0.0
1719006713.707911,13329,1719006713,705618255,,0.0,0.0,0.0
1719006713.727774,13330,1719006713,725471588,,0.0,0.0,0.0
1719006713.7472172,13331,1719006713,745543047,,0.0,0.0,0.0
1719006713.7672377,13332,1719006713,765624297,,0.0,0.0,0.0
1719006713.787607,13333,1719006713,785452891,,0.0,0.0,0.0
1719006713.808818,13334,1719006713,805531328,,0.0,0.0,0.0
1719006713.827703,13335,1719006713,825438620,,0.0,0.0,0.0
1719006713.8488772,13336,1719006713,845614453,,0.0,0.0,0.0
1719006713.8680682,13337,1719006713,865499141,,0.0,0.0,0.0
1719006713.8879797,13338,1719006713,885455338,,0.0,0.0,0.0
1719006713.9078314,13339,1719006713,905434922,,0.0,0.0,0.0
1719006713.9275553,13340,1719006713,925443620,,0.0,0.0,0.0
1719006713.9486089,13341,1719006713,945729193,,0.0,0.0,0.0
1719006713.9680932,13342,1719006713,965975495,,0.0,0.0,0.0
1719006713.9884784,13343,1719006713,985570859,,0.0,0.0,0.0
1719006714.0073004,13344,1719006714,6115495,,0.0,0.0,0.0
1719006714.028256,13345,1719006714,25635859,,0.0,0.0,0.0
1719006714.04823,13346,1719006714,45479140,,0.0,0.0,0.0
1719006714.0679414,13347,1719006714,65438724,,0.0,0.0,0.0
1719006714.0879908,13348,1719006714,85565390,,0.0,0.0,0.0
1719006714.1079047,13349,1719006714,105445599,,0.0,0.0,0.0
1719006714.1282017,13350,1719006714,125419088,,0.0,0.0,0.0
1719006714.1476665,13351,1719006714,145687057,,0.0,0.0,0.0
1719006714.16693,13352,1719006714,165414870,,0.0,0.0,0.0
1719006714.187538,13353,1719006714,185517734,,0.0,0.0,0.0
1719006714.2078216,13354,1719006714,205460599,,0.0,0.0,0.0
1719006714.228314,13355,1719006714,225747838,,0.0,0.0,0.0
1719006714.2487357,13356,1719006714,245865807,,0.0,0.0,0.0
1719006714.2691102,13357,1719006714,265591901,,0.0,0.0,0.0
1719006714.2888284,13358,1719006714,285700599,,0.0,0.0,0.0
1719006714.3075488,13359,1719006714,305413880,,0.0,0.0,0.0
1719006714.329023,13360,1719006714,325709192,,0.0,0.0,0.0
1719006714.3487365,13361,1719006714,345551224,,0.0,0.0,0.0
1719006714.369232,13362,1719006714,365486119,,0.0,0.0,0.0
1719006714.3880584,13363,1719006714,385462057,,0.0,0.0,0.0
1719006714.4082248,13364,1719006714,405630599,,0.0,0.0,0.0
1719006714.4279573,13365,1719006714,425484244,,0.0,0.0,0.0
1719006714.448685,13366,1719006714,445479974,,0.0,0.0,0.0
1719006714.4693758,13367,1719006714,465623724,,0.0,0.0,0.0
1719006714.4883027,13368,1719006714,485466015,,0.0,0.0,0.0
1719006714.508446,13369,1719006714,505478255,,0.0,0.0,0.0
1719006714.5296001,13370,1719006714,525555234,,0.0,0.0,0.0
1719006714.5498347,13371,1719006714,545981640,,0.0,0.0,0.0
1719006714.5680034,13372,1719006714,565463463,,0.0,0.0,0.0
1719006714.5893486,13373,1719006714,585718515,,0.0,0.0,0.0
1719006714.6081746,13374,1719006714,605667109,,0.0,0.0,0.0
1719006714.6290936,13375,1719006714,625624557,,0.0,0.0,0.0
1719006714.6494524,13376,1719006714,646152005,,0.0,0.0,0.0
1719006714.6679888,13377,1719006714,665448828,,0.0,0.0,0.0
1719006714.6881442,13378,1719006714,685485182,,0.0,0.0,0.0
1719006714.708951,13379,1719006714,705698828,,0.0,0.0,0.0
1719006714.7277508,13380,1719006714,725597838,,0.0,0.0,0.0
1719006714.7490823,13381,1719006714,745778723,,0.0,0.0,0.0
1719006714.7665927,13382,1719006714,765485911,,0.0,0.0,0.0
1719006714.787016,13383,1719006714,785458151,,0.0,0.0,0.0
1719006714.808151,13384,1719006714,805853880,,0.0,0.0,0.0
1719006714.8285472,13385,1719006714,825608203,,0.0,0.0,0.0
1719006714.8477612,13386,1719006714,845463411,,0.0,0.0,0.0
1719006714.8679185,13387,1719006714,865453307,,0.0,0.0,0.0
1719006714.887434,13388,1719006714,885431744,,0.0,0.0,0.0
1719006714.9089003,13389,1719006714,905647994,,0.0,0.0,0.0
1719006714.9285507,13390,1719006714,925508984,,0.0,0.0,0.0
1719006714.9486332,13391,1719006714,945791796,,0.0,0.0,0.0
1719006714.9682293,13392,1719006714,965490494,,0.0,0.0,0.0
