Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,type_mask,orientation.x,orientation.y,orientation.z,orientation.w,body_rate.x,body_rate.y,body_rate.z,thrust
1719185929.4173815,35690,1719185929,416543702,,0,0.00023973289723112418,-0.001020068324706519,0.03498690010765099,0.9993872216561548,0.0,0.0,0.0,0.4485023617744446
1719185929.438153,35691,1719185929,436639118,,0,-0.0004541800823701242,-0.001134331626351921,0.03498613238463179,0.9993870509232042,0.0,0.0,0.0,0.44848066568374634
1719185929.4578521,35692,1719185929,456590056,,0,-0.0003943607980817344,-0.0010740243435655623,0.03498622983999043,0.9993871395374536,0.0,0.0,0.0,0.4484790861606598
1719185929.4779274,35693,1719185929,476664795,,0,0.00021665623025279783,-0.0009125789740335865,0.034986864132310495,0.9993873321179738,0.0,0.0,0.0,0.44850602746009827
1719185929.4978514,35694,1719185929,496573389,,0,0.0002755042743905621,-0.0008861834878819222,0.03498691341681372,0.9993873396565442,0.0,0.0,0.0,0.4484812319278717
1719185929.5183818,35695,1719185929,516599900,,0,-0.00011557349239672459,-0.0010009860086156043,0.03498654223046766,0.9993872755506417,0.0,0.0,0.0,0.44840824604034424
1719185929.5382779,35696,1719185929,536685993,,0,-0.00011460220577458747,-0.001030764794490037,0.034986536620939576,0.999387245588788,0.0,0.0,0.0,0.44842296838760376
1719185929.5578368,35697,1719185929,556576931,,0,-0.00033096891714594746,-0.0010822637126161932,0.034986293263567884,0.9993871514325706,0.0,0.0,0.0,0.4484708309173584
1719185929.5783458,35698,1719185929,576601098,,0,-0.00033096891714594746,-0.0010822637126161932,0.034986293263567884,0.9993871514325706,0.0,0.0,0.0,0.4484708309173584
1719185929.5979967,35699,1719185929,596591566,,0,-0.0003248060023761586,-0.001079919871484112,0.03498630086725247,0.9993871557238256,0.0,0.0,0.0,0.448441743850708
1719185929.618611,35700,1719185929,616587920,,0,0.0002897673218762415,-0.0009300527258648849,0.03498693465349335,0.9993872950164908,0.0,0.0,0.0,0.44846683740615845
1719185929.637985,35701,1719185929,636599691,,0,0.000390493384390981,-0.000932146657158603,0.034987029853948436,0.9993872554518219,0.0,0.0,0.0,0.44845226407051086
1719185929.6582701,35702,1719185929,656653598,,0,0.0003850391613864692,-0.0009296911991087228,0.03498702400871549,0.9993872600599489,0.0,0.0,0.0,0.4484524428844452
1719185929.6785822,35703,1719185929,676622712,,0,0.00043090405820268125,-0.000962498924902036,0.03498707801009189,0.9993872083881342,0.0,0.0,0.0,0.4484573006629944
1719185929.698051,35704,1719185929,696612347,,0,0.00043090405820268125,-0.000962498924902036,0.03498707801009189,0.9993872083881342,0.0,0.0,0.0,0.4484573006629944
1719185929.7189343,35705,1719185929,716594170,,0,0.0003798695124135091,-0.0009259345422558453,0.03498701809109331,0.9993872657330943,0.0,0.0,0.0,0.4484569728374481
1719185929.7383862,35706,1719185929,736688389,,0,-0.0002357784101081576,-0.0010804408228091307,0.03498639566351934,0.9993871768111923,0.0,0.0,0.0,0.448431134223938
1719185929.758309,35707,1719185929,756721410,,0,-0.0002771347994329125,-0.0010438392750181174,0.0349863656768547,0.9993872061481457,0.0,0.0,0.0,0.44839775562286377
1719185929.778983,35708,1719185929,776710472,,0,-0.0002771347994329125,-0.0010438392750181174,0.0349863656768547,0.9993872061481457,0.0,0.0,0.0,0.44839775562286377
1719185929.7994845,35709,1719185929,796707087,,0,0.00046998443373048366,-0.0008901517349446386,0.03498708925455202,0.9993872574382839,0.0,0.0,0.0,0.44838273525238037
1719185929.8188155,35710,1719185929,816683077,,0,0.0004747511983865963,-0.0009251420071007238,0.034987106793497015,0.9993872227929407,0.0,0.0,0.0,0.4483828544616699
1719185929.8378823,35711,1719185929,836592035,,0,0.00047774269543609485,-0.0009254311178215,0.034987109711959535,0.9993872209975303,0.0,0.0,0.0,0.44838249683380127
1719185929.8584254,35712,1719185929,856634118,,0,0.0004913022427767017,-0.000938926375216093,0.03498712774196627,0.9993872012046859,0.0,0.0,0.0,0.44838935136795044
1719185929.8792481,35713,1719185929,876685733,,0,0.0004913022427767017,-0.000938926375216093,0.03498712774196627,0.9993872012046859,0.0,0.0,0.0,0.44838935136795044
1719185929.8983583,35714,1719185929,896634795,,0,1.4849685666021796e-05,-0.0009681508797364654,0.034986675058057394,0.9993873098212438,0.0,0.0,0.0,0.4483077824115753
1719185929.918603,35715,1719185929,916615837,,0,1.4849685666021796e-05,-0.0009681508797364654,0.034986675058057394,0.9993873098212438,0.0,0.0,0.0,0.4483077824115753
1719185929.9381688,35716,1719185929,936670368,,0,-7.484443817752237e-05,-0.0008397637403484532,0.03498661033115448,0.9993874255226081,0.0,0.0,0.0,0.4483002722263336
1719185929.9581473,35717,1719185929,956676566,,0,-7.484443817752237e-05,-0.0008397637403484532,0.03498661033115448,0.9993874255226081,0.0,0.0,0.0,0.4483002722263336
1719185929.9781876,35718,1719185929,976595316,,0,0.0005231325294313285,-0.0007528519028381506,0.03498707756345292,0.9993873443014665,0.0,0.0,0.0,0.44835591316223145
1719185929.9982595,35719,1719185929,996612399,,0,0.0005231325294313285,-0.0007528519028381506,0.03498707756345292,0.9993873443014665,0.0,0.0,0.0,0.44835591316223145
1719185930.018989,35720,1719185930,16582295,,0,0.0005677551797050631,-0.0007165830072737333,0.0349870941701733,0.9993873460297449,0.0,0.0,0.0,0.44835472106933594
1719185930.038809,35721,1719185930,36876618,,0,0.0005131767154587507,-0.0006883593297314556,0.03498704179010725,0.9993873972178502,0.0,0.0,0.0,0.44835954904556274
