Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,intFlag,altiThreshold,thrustSetpoint,thrustPerRotor,expectedThrust.x,expectedThrust.y,expectedThrust.z,disturbanceEstimate.x,disturbanceEstimate.y,disturbanceEstimate.z,inertialForce.x,inertialForce.y,inertialForce.z
1719185929.4181156,35690,1719185929,416543702,,False,True,16.485849380493164,4.121462345123291,-0.3168528137617507,0.08555174405546756,16.482107027963345,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.4387076,35691,1719185929,436639118,,False,True,16.484609603881836,4.121152400970459,-0.31677776286513193,0.08561746891530854,16.482583272760724,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.4591947,35692,1719185929,456590056,,False,True,16.48451805114746,4.121129512786865,-0.3167133147663533,0.0856885972168199,16.481343171056846,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.4789495,35693,1719185929,476664795,,False,True,16.486059188842773,4.121514797210693,-0.31669123063898635,0.08570230037473058,16.48125376146944,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.4988499,35694,1719185929,496573389,,False,True,16.484642028808594,4.121160507202148,-0.31676922177906247,0.08593504702850385,16.48279103169138,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.5200217,35695,1719185929,516599900,,False,True,16.480470657348633,4.120117664337158,-0.3166872693836464,0.08603077347816053,16.481375804778818,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.539015,35696,1719185929,536685993,,False,True,16.481311798095703,4.120327949523926,-0.3165974788081762,0.08634676738869841,16.477203736098463,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.5594103,35697,1719185929,556576931,,False,True,16.48404884338379,4.121012210845947,-0.31634169101581383,0.08657144159014593,16.47804856441555,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.5796926,35698,1719185929,576601098,,False,True,16.48404884338379,4.121012210845947,-0.31642556572966146,0.0865382219204317,16.480783712402218,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.5991807,35699,1719185929,596591566,,False,True,16.482385635375977,4.120596408843994,-0.31640453639731086,0.08665771673075508,16.480783488340236,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.6205137,35700,1719185929,616587920,,False,True,16.48381996154785,4.120954990386963,-0.3164730798304228,0.08690706626672995,16.47911761350687,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.6392086,35701,1719185929,636599691,,False,True,16.482986450195312,4.120746612548828,-0.3162532833411756,0.08697684222050092,16.480555758149695,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.659428,35702,1719185929,656653598,,False,True,16.482995986938477,4.120748996734619,-0.3162988856157996,0.08698563318218391,16.479722255496934,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.6795278,35703,1719185929,676622712,,False,True,16.483274459838867,4.120818614959717,-0.31625243967617306,0.08683338632686581,16.47973311901924,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.699126,35704,1719185929,696612347,,False,True,16.483274459838867,4.120818614959717,-0.31636876305767786,0.08681075472206307,16.48000858876149,0.0,0.0,0.0,0.0,0.0,0.0
1719185929.7207842,35705,1719185929,716594170,,False,True,16.48325538635254,4.120813846588135,-0.3165006832105096,0.08681627000349121,16.48000602675706,0.0,0.0,0.0,0.0,0.0,0.0
