Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1719005456.879014,12802,1719005456,877233943,,0.0,0.0,0.0
1719005456.8991866,12803,1719005456,897429203,,0.0,0.0,0.0
1719005456.9189045,12804,1719005456,917233578,,0.0,0.0,0.0
1719005456.938849,12805,1719005456,937228318,,0.0,0.0,0.0
1719005456.9593797,12806,1719005456,957249047,,0.0,0.0,0.0
1719005456.979575,12807,1719005456,977253995,,0.0,0.0,0.0
1719005456.9987872,12808,1719005456,997241599,,0.0,0.0,0.0
1719005457.019758,12809,1719005457,17519151,,0.0,0.0,0.0
1719005457.0394292,12810,1719005457,37322485,,0.0,0.0,0.0
1719005457.0588727,12811,1719005457,57275089,,0.0,0.0,0.0
1719005457.0799658,12812,1719005457,77239568,,0.0,0.0,0.0
1719005457.0990968,12813,1719005457,97255349,,0.0,0.0,0.0
1719005457.1199408,12814,1719005457,117262276,,0.0,0.0,0.0
1719005457.1413784,12815,1719005457,137461495,,0.0,0.0,0.0
1719005457.1584225,12816,1719005457,157298266,,0.0,0.0,0.0
1719005457.1792328,12817,1719005457,177209984,,0.0,0.0,0.0
1719005457.1990058,12818,1719005457,197215245,,0.0,0.0,0.0
1719005457.2186902,12819,1719005457,217224828,,0.0,0.0,0.0
1719005457.2395248,12820,1719005457,237228214,,0.0,0.0,0.0
1719005457.25936,12821,1719005457,257247120,,0.0,0.0,0.0
1719005457.279734,12822,1719005457,277508422,,0.0,0.0,0.0
1719005457.299893,12823,1719005457,297254464,,0.0,0.0,0.0
1719005457.3199053,12824,1719005457,317274672,,0.0,0.0,0.0
1719005457.3395717,12825,1719005457,337293943,,0.0,0.0,0.0
1719005457.3590727,12826,1719005457,357296182,,0.0,0.0,0.0
1719005457.3791354,12827,1719005457,377259516,,0.0,0.0,0.0
1719005457.3995109,12828,1719005457,397283682,,0.0,0.0,0.0
1719005457.418979,12829,1719005457,417240974,,0.0,0.0,0.0
1719005457.4399586,12830,1719005457,437274932,,0.0,0.0,0.0
1719005457.4599495,12831,1719005457,457274359,,0.0,0.0,0.0
1719005457.4816794,12832,1719005457,478587849,,0.0,0.0,0.0
1719005457.4996455,12833,1719005457,497260714,,0.0,0.0,0.0
1719005457.5197966,12834,1719005457,517254672,,0.0,0.0,0.0
1719005457.5396373,12835,1719005457,537245714,,0.0,0.0,0.0
1719005457.5593555,12836,1719005457,557233370,,0.0,0.0,0.0
1719005457.5802543,12837,1719005457,577266703,,0.0,0.0,0.0
